period,zone,price_engine,price_official,diff,coherence
70,CALA,134.54,134.54,0.0,OK
70,SICI,134.54,134.54,0.0,OK
70,SARD,60.0,60.0,0.0,OK
71,NORD,147.99,147.7245,0.27,OK
71,CNOR,147.99,147.7245,0.27,OK
71,CSUD,147.99,147.7245,0.27,OK
71,SUD,147.99,147.7245,0.27,OK
71,CALA,147.99,147.7245,0.27,OK
71,SICI,147.99,147.7245,0.27,OK
71,SARD,76.5,76.5,0.0,OK
72,NORD,160.66,160.66,0.0,OK
72,CNOR,160.66,160.66,0.0,OK
72,CSUD,160.66,160.66,0.0,OK
72,SUD,160.66,160.66,0.0,OK
72,CALA,160.66,160.66,0.0,OK
72,SICI,160.66,160.66,0.0,OK
72,SARD,134.31,134.31,0.0,OK
73,NORD,137.7,137.44783,0.25,OK
73,CNOR,137.7,137.44783,0.25,OK
73,CSUD,137.7,137.44783,0.25,OK
73,SUD,137.7,137.44783,0.25,OK
73,CALA,137.7,137.44783,0.25,OK
73,SICI,137.7,137.44783,0.25,OK
73,SARD,137.7,137.44783,0.25,OK
74,NORD,154.75,154.09613,0.65,OK
74,CNOR,154.75,154.09613,0.65,OK
74,CSUD,154.75,154.09613,0.65,OK
74,SUD,154.75,154.09613,0.65,OK
74,CALA,154.75,154.09613,0.65,OK
74,SICI,154.75,154.09613,0.65,OK
74,SARD,154.75,154.09613,0.65,OK
75,NORD,158.2,158.2,0.0,OK
75,CNOR,158.2,158.2,0.0,OK
75,CSUD,158.2,158.2,0.0,OK
75,SUD,158.2,158.2,0.0,OK
75,CALA,158.2,158.2,0.0,OK
75,SICI,158.2,158.2,0.0,OK
75,SARD,158.2,158.2,0.0,OK
76,NORD,160.66,160.66,0.0,OK
76,CNOR,160.66,160.66,0.0,OK
76,CSUD,160.66,160.66,0.0,OK
76,SUD,160.66,160.66,0.0,OK
76,CALA,160.66,160.66,0.0,OK
76,SICI,160.66,160.66,0.0,OK
76,SARD,160.66,160.66,0.0,OK
77,NORD,158.2,158.2,0.0,OK
77,CNOR,158.2,158.2,0.0,OK
77,CSUD,158.2,158.2,0.0,OK
77,SUD,158.2,158.2,0.0,OK
77,CALA,158.2,158.2,0.0,OK
77,SICI,158.2,158.2,0.0,OK
77,SARD,158.2,158.2,0.0,OK
78,NORD,160.86,160.86,0.0,OK
78,CNOR,160.86,160.86,0.0,OK
78,CSUD,160.86,160.86,0.0,OK
78,SUD,160.86,160.86,0.0,OK
78,CALA,160.86,160.86,0.0,OK
78,SICI,160.86,160.86,0.0,OK
78,SARD,160.86,160.86,0.0,OK
79,NORD,171.0,171.0,0.0,OK
79,CNOR,171.0,171.0,0.0,OK
79,CSUD,171.0,171.0,0.0,OK
79,SUD,171.0,171.0,0.0,OK
79,CALA,171.0,171.0,0.0,OK
79,SICI,171.0,171.0,0.0,OK
79,SARD,171.0,171.0,0.0,OK
80,NORD,176.66,176.66,0.0,OK
80,CNOR,178.98,178.98,0.0,OK
80,CSUD,178.98,178.98,0.0,OK
80,SUD,178.98,178.98,0.0,OK
80,CALA,178.98,178.98,0.0,OK
80,SICI,178.98,178.98,0.0,OK
80,SARD,178.98,178.98,0.0,OK
81,NORD,168.0,168.0,0.0,OK
81,CNOR,168.0,168.0,0.0,OK
81,CSUD,168.0,168.0,0.0,OK
81,SUD,168.0,168.0,0.0,OK
81,CALA,168.0,168.0,0.0,OK
81,SICI,168.0,168.0,0.0,OK
81,SARD,168.0,168.0,0.0,OK
82,NORD,174.0,174.0,0.0,OK
82,CNOR,174.17,174.17,0.0,OK
82,CSUD,174.17,174.17,0.0,OK
82,SUD,174.17,174.17,0.0,OK
82,CALA,174.17,174.17,0.0,OK
82,SICI,174.17,174.17,0.0,OK
82,SARD,174.17,174.17,0.0,OK
83,NORD,186.62,186.62,0.0,OK
83,CNOR,189.1,189.1,0.0,OK
83,CSUD,189.1,189.1,0.0,OK
83,SUD,189.1,189.1,0.0,OK
83,CALA,189.1,189.1,0.0,OK
83,SICI,189.1,189.1,0.0,OK
83,SARD,189.1,189.1,0.0,OK
84,NORD,175.58,175.58,0.0,OK
84,CNOR,189.1,188.73,0.37,OK
84,CSUD,189.1,188.73,0.37,OK
84,SUD,189.1,188.73,0.37,OK
84,CALA,189.1,188.73,0.37,OK
84,SICI,189.1,188.73,0.37,OK
84,SARD,189.1,188.73,0.37,OK
85,NORD,190.46,190.46,0.0,OK
85,CNOR,190.46,190.46,0.0,OK
85,CSUD,190.46,190.46,0.0,OK
85,SUD,190.46,190.46,0.0,OK
85,CALA,190.46,190.46,0.0,OK
85,SICI,190.46,190.46,0.0,OK
