period,arc,flow_engine,flow_official,limit,limit_reverse
56,CSUD-SARD,-760.5,-760.5,720.0,900.0
56,CSUD-SUD,-2283.1,-2407.0,2400.0,5309.0
57,CALA-SICI,-315.2,-315.2,1615.0,1674.0
57,CALA-SUD,286.5,286.5,1784.0,1550.0
57,CNOR-CSUD,-3156.1,-3156.1,2341.0,3583.0
57,CNOR-NORD,1950.0,1950.0,3207.0,3200.0
57,CSUD-SARD,-728.6,-728.6,720.0,900.0
57,CSUD-SUD,-2730.9,-2730.9,2670.0,4630.0
58,CALA-SICI,-332.7,-332.7,1615.0,1674.0
58,CALA-SUD,303.9,303.9,1784.0,1550.0
58,CNOR-CSUD,-3271.1,-3271.1,2341.0,3583.0
58,CNOR-NORD,2036.2,2036.2,3207.0,3200.0
58,CSUD-SARD,-750.5,-750.5,720.0,900.0
58,CSUD-SUD,-2792.6,-2792.6,2670.0,4630.0
59,CALA-SICI,-297.4,-297.4,1615.0,1674.0
59,CALA-SUD,261.4,261.4,1784.0,1550.0
59,CNOR-CSUD,-3181.1,-3181.1,2341.0,3583.0
59,CNOR-NORD,1885.5,1885.5,3207.0,3200.0
59,CSUD-SARD,-761.0,-761.0,720.0,900.0
59,CSUD-SUD,-2763.3,-2763.3,2670.0,4630.0
60,CALA-SICI,-273.4,-273.4,1615.0,1674.0
60,CALA-SUD,235.6,235.6,1784.0,1550.0
60,CNOR-CSUD,-3137.8,-3137.8,2341.0,3583.0
60,CNOR-NORD,1831.4,1831.4,3207.0,3200.0
60,CSUD-SARD,-766.3,-766.3,720.0,900.0
60,CSUD-SUD,-2750.4,-2750.4,2670.0,4630.0
61,CALA-SICI,-163.1,-163.1,1615.0,1674.0
61,CALA-SUD,181.4,181.4,1784.0,1550.0
61,CNOR-CSUD,-3353.7,-3452.5,2341.0,3583.0
61,CNOR-NORD,1962.7,2061.5,3207.0,3200.0
61,CSUD-SARD,-900.0,-900.0,720.0,900.0
61,CSUD-SUD,-2758.8,-2857.6,2670.0,4630.0
62,CALA-SICI,-132.2,-132.2,1615.0,1674.0
62,CALA-SUD,154.7,154.7,1784.0,1550.0
62,CNOR-CSUD,-3318.9,-3417.7,2341.0,3583.0
62,CNOR-NORD,1875.3,1974.1,3207.0,3200.0
62,CSUD-SARD,-900.0,-900.0,720.0,900.0
62,CSUD-SUD,-2723.7,-2822.5,2670.0,4630.0
63,CALA-SICI,-135.7,-135.7,1615.0,1674.0
63,CALA-SUD,154.3,154.3,1784.0,1550.0
63,CNOR-CSUD,-3283.8,-3382.6,2341.0,3583.0
63,CNOR-NORD,1828.0,1926.8,3207.0,3200.0
63,CSUD-SARD,-900.0,-900.0,720.0,900.0
63,CSUD-SUD,-2727.4,-2826.2,2670.0,4630.0
64,CALA-SICI,-16.5,-16.5,1615.0,1674.0
64,CALA-SUD,34.6,34.6,1784.0,1550.0
64,CNOR-CSUD,-3085.3,-3184.1,2341.0,3583.0
64,CNOR-NORD,1641.0,1739.8,3207.0,3200.0
64,CSUD-SARD,-900.0,-900.0,720.0,900.0
64,CSUD-SUD,-2580.3,-2679.1,2670.0,4630.0
65,CALA-SICI,93.4,93.4,1703.0,1671.0
65,CALA-SUD,-95.9,-95.9,1902.0,1331.0
65,CNOR-CSUD,-2991.4,-2991.4,2579.0,3834.0
65,CNOR-NORD,1465.8,1465.8,3225.0,2402.0
65,CSUD-SARD,-900.0,-900.0,720.0,900.0
65,CSUD-SUD,-2559.7,-2559.7,2572.0,5084.0
66,CALA-SICI,118.7,118.7,1703.0,1671.0
66,CALA-SUD,-125.5,-125.5,1902.0,1331.0
66,CNOR-CSUD,-2795.8,-2795.8,2579.0,3834.0
66,CNOR-NORD,1156.5,1156.5,3225.0,2402.0
66,CSUD-SARD,-900.0,-900.0,720.0,900.0
66,CSUD-SUD,-2449.1,-2449.1,2572.0,5084.0
67,CALA-SICI,184.5,183.8,1703.0,1671.0
67,CALA-SUD,-176.0,-175.3,1902.0,1331.0
67,CNOR-CSUD,-2772.1,-2772.8,2579.0,3834.0
67,CNOR-NORD,1089.7,1090.4,3225.0,2402.0
67,CSUD-SARD,-900.0,-900.0,720.0,900.0
67,CSUD-SUD,-2486.7,-2487.4,2572.0,5084.0
68,CALA-SICI,291.6,291.6,1703.0,1671.0
68,CALA-SUD,-135.6,-135.6,1902.0,1331.0
68,CNOR-CSUD,-2911.3,-2911.3,2579.0,3834.0
68,CNOR-NORD,1252.1,1252.1,3225.0,2402.0
68,CSUD-SARD,-900.0,-900.0,720.0,900.0
68,CSUD-SUD,-2605.6,-2605.6,2572.0,5084.0
69,CALA-SICI,537.3,537.3,1703.0,1671.0
69,CALA-SUD,-226.9,-226.9,1902.0,1331.0
69,CNOR-CSUD,-2400.0,-2400.0,2396.0,3834.0
69,CNOR-NORD,657.1,657.1,3125.0,2402.0
69,CSUD-SARD,-900.0,-900.0,720.0,900.0
69,CSUD-SUD,-2320.8,-2320.8,2572.0,5084.0
70,CALA-SICI,614.8,614.8,1703.0,1671.0
70,CALA-SUD,-113.3,-113.3,1902.0,1331.0
70,CNOR-CSUD,-2332.2,-2332.2,2396.0,3834.0
70,CNOR-NORD,588.4,588.4,3125.0,2402.0
70,CSUD-SARD,-900.0,-900.0,720.0,900.0
70,CSUD-SUD,-2309.0,-2309.0,2572.0,5084.0
71,CALA-SICI,729.6,729.6,1703.0,1671.0
71,CALA-SUD,-240.4,-240.4,1902.0,1331.0
71,CNOR-CSUD,-2022.6,-2022.6,2396.0,3834.0
71,CNOR-NORD,177.0,177.0,3125.0,2402.0
71,CSUD-SARD,-900.0,-900.0,720.0,900.0
71,CSUD-SUD,-2098.0,-2098.0,2572.0,5084.0
72,CALA-SICI,-34.9,-34.9,1703.0,1671.0
72,CALA-SUD,526.4,526.4,1902.0,1331.0
72,CNOR-CSUD,-2710.5,-2710.5,2396.0,3834.0
72,CNOR-NORD,886.9,886.9,3125.0,2402.0
72,CSUD-SARD,-900.0,-900.0,720.0,900.0
72,CSUD-SUD,-2782.3,-2782.3,2572.0,5084.0
73,CALA-SICI,1108.0,1108.0,1699.0,1351.0
73,CALA-SUD,-575.8,-575.8,1969.0,1136.0
73,CNOR-CSUD,-45.2,-45.2,2893.0,2390.0
73,CNOR-NORD,-1826.0,-1826.0,2625.0,3182.0
73,CSUD-SARD,-743.9,-743.9,720.0,900.0
73,CSUD-SUD,-872.8,-872.8,3263.0,5320.0
74,CALA-SICI,1113.6,1113.6,1699.0,1351.0
74,CALA-SUD,119.3,119.3,1969.0,1136.0
74,CNOR-CSUD,-696.3,-696.3,2893.0,2390.0
74,CNOR-NORD,-1235.9,-1235.9,2625.0,3182.0
74,CSUD-SARD,-668.4,-668.4,720.0,900.0
74,CSUD-SUD,-1576.0,-1576.0,3263.0,5320.0
75,CALA-SICI,726.0,726.0,1699.0,1351.0
75,CALA-SUD,497.8,497.8,1969.0,1136.0
75,CNOR-CSUD,-759.4,-759.4,2893.0,2390.0
75,CNOR-NORD,-1249.1,-1249.1,2625.0,3182.0
75,CSUD-SARD,-611.6,-611.6,720.0,900.0
75,CSUD-SUD,-1882.1,-1882.1,3263.0,5320.0
76,CALA-SICI,639.7,639.7,1699.0,1351.0
